,emotion_label,emotion_text
106,sadness,When One see children on Thymine . Quintet from areas devastated by drought and war .
107,sadness,When I see children T on . V from areas devastated by and drought war .
108,disgust,When I nearly walked on a blindworm and then saw it crawl away.
109,disgust,When I nearly walked on a blindworm and and then saw information technology fawn by .
110,disgust,When I nearly walked on a blindworm and so go steady it grovel aside .
111,disgust,When nearly I walked a on blindworm and saw then it away crawl .
112,shame,When I saw my 18 year old son grab an oxygen mask as he had  breathing difficulties.  I had a bad conscience because I had not  stopped smoking.  Medication for the dilation of his breathing  tubes also caused a sense of guilt in me.
113,shame,When I saw my 18 yr old son snaffle an atomic number 8 mask as he have breathing difficulties . Unity receive a bad conscience because I had non stopped smoke . Medication for the dilation of his breathing tubes also caused a sense of guilt in maine .
114,shame,When I saw my 18 yr old son grab an oxygen masquerade as he had breathe difficulty . Atomic number 53 had a bad conscience because I had non kibosh smoking . Medication for the dilation of his breathing tubes also caused a signified of guilt in me .
115,shame,I my when saw 18 year old grab son an oxygen mask as he breathing had difficulties . I had a bad conscience because I had not smoking stopped . for Medication the dilation of breathing his tubes also caused a sense guilt of me in .
116,guilt,"I experience a sense of guilt as my middle son cannot express  himself like other children, neither verbally nor in writing."
117,guilt,"I experience a gumption of guilt as my middle son cannot express himself like former children , neither verbally nor in writing ."
118,guilt,"I see a sense of guilt as my middle logos cannot express himself like other children , neither verbally nor in piece of writing ."
119,guilt,"Experience I a sense of guilt as my son cannot middle himself express like other , children neither verbally in nor writing ."
120,joy,When my child was born.
121,joy,When my child be born .
122,joy,When my child be born .
123,joy,My when child was born .
124,fear,"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed  in over my head."
125,fear,"Information technology was give and the ice was melt . I was far out on a bulwark and I poked the ice rink with a long offset to try and break it . The branch went through the ice and I fell in , the piss shut in over my head ."
126,fear,"It was spring and the ice was melting . One comprise far tabu on a jetty and I poked the ice with a long offshoot to try and check information technology . The leg went through the water ice and I fell in , the water closed in over my head ."
127,fear,"Was it spring and the ice was melting . I was far a out on jetty poked and I the ice with a branch long try to and it break . The went branch through the ice and I fell in , water the closed in over my head ."
128,anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  "
129,anger,"Unfair accusations directed at me and my room of acting , by someone close to me ."
130,anger,"Unjust charge directed at me and my way of acting , by someone near to maine ."
131,anger,"Accusations unjust directed me at my and of way acting , by someone close me to ."
132,sadness,Failing an examination.
133,sadness,Run out an examination .
134,sadness,Failing an interrogatory .
135,sadness,Failing an . examination
136,disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that  turned into sadness-unpleasantness."
137,disgust,"A drunkard fell , start bleeding and moisture himself . Disgust that ferment into sadness - unpleasantness ."
138,disgust,"A drunkard fall , start bleeding and wet himself . Disgust that turned into sadness - unpleasantness ."
139,disgust,"Drunkard a fell , started bleeding and himself wet . Disgust turned that into - unpleasantness sadness ."
140,shame,"When, as an adult I have been caught lying or behaving badly."
141,shame,"When , as an grownup I have be catch lying or conduct badly ."
142,shame,"When , as an grownup I get been caught lying operating room behaving badly ."
143,shame,"When , an as adult I caught have been or lying behaving badly ."
144,guilt,"When I am in an environment or with a person much worse off than  me, I realize how privileged I am."
145,guilt,"When I am in an environment or with a person much bad off than maine , I realise how privileged I am ."
146,guilt,"When I be in an environment or with a person much worse cancelled than me , I realize how privileged I be ."
147,guilt,"I when in am an environment or with a worse person much than off me , I realize how I privileged am ."
148,joy,When I saw a person I had not seen for a long time.
149,joy,When I saw a somebody Ane had non seen for a long time .
150,joy,When I saw a person I had non envision for a farsighted time .
151,joy,I when saw a person not I had seen for a time long .
152,fear,"When, as a child, I was nearly knocked down by a car."
153,fear,"When , as a child , I embody nearly strike hard dispirited by a car ."
154,fear,"When , as a tiddler , I was nearly knocked land by a car ."
155,fear,", as when a child , was I nearly down knocked by a car ."
156,anger,"When I heard on the radio that the football match in Belgium had  ended in a catastrophe, and several people had died.  I could not   understand how normal people could behave in such a way."
157,anger,"When Ace heard on the radio that the football peer in Belgium make end in a catastrophe , and several people had died . One could not understand how normal people could comport in such a way ."
158,anger,"When I heard on the radio that the football game match in Belgium have ended in a cataclysm , and respective people get go . I could non sympathize how normal people could carry in such a way ."
159,anger,"When I heard on the radio the football that match in had Belgium ended in a and catastrophe , people several died had . I could not understand how normal people could in behave way such a ."
160,sadness,"When I feel lonely, perhaps because I have to study a lot and I  am shut up in my appartment.  Nothing happens in particular  because there is no time for anything else."
161,sadness,"When I feel lonely , perhaps because I have to canvass a lot and One am shut out up in my appartment . Zip happens in particular because there is no fourth dimension for anything else ."
162,sadness,"When Iodine feel lonely , perhaps because I throw to meditate a quite a little and I am shut up in my appartment . Nothing happens in particular because there make up no time for anything else ."
163,sadness,"When feel I lonely , because perhaps I have to study a and lot am I up shut in my appartment . happens Nothing particular in because there no is time for anything else ."
164,disgust,When one learns through the mass media all the wars and killing  going on in the world.
165,disgust,When ace find out done the mass media completely the wars and killing going on in the world .
166,disgust,When one pick up through the mint media all the war and killing going on in the world .
167,disgust,When through one learns the mass media all wars and the going killing on in the world .
168,shame,"I lied, to be precise I cancelled a meeting with a good friend."
169,shame,"I lied , to live accurate 1 cancelled a meeting with a good friend ."
170,shame,"I lied , to be precise Iodin scratch a meeting with a good friend ."
171,shame,"Lied I , to be precise I cancelled a meeting with a friend good ."
172,guilt,When one lets friends down
173,guilt,When one and only lets friends down
174,guilt,When one lets friends downward
175,guilt,One when lets friends down
176,joy,When I was accepted for a course on finance and accounting.
177,joy,When I was accepted for a class on finance and accounting .
178,joy,When I was accepted for a course on finance and accounting system .
179,joy,When I was for a accepted course on finance and . accounting
180,fear,"A bus drove over my right leg.  The event itself was not very  frightening but when I had to wait in the emergency ward for  three hours and then my leg began to swell, I was frightened."
181,fear,"A bus swarm over my right ramification . The event itself exist not very frightening but when I had to await in the emergency ward for three hour and and so my branch lead off to swell , I was frightened ."
182,fear,"A bus swarm all over my right leg . The result itself was not real frighten but when I had to wait in the emergency ward for three hours and then my leg begin to swell , Single was frightened ."
183,fear,"A bus drove over my right leg . The event itself was not very frightening when but had to I in wait the emergency for ward three and hours then my leg began to , I swell was frightened ."
184,anger,"At my Summer job, nobody looked after me in particular and I had  to learn all on my own."
185,anger,"At my Summertime job , nobody depend after me in special and Single had to learn all on my ain ."
186,anger,"At my Summer job , nobody looked after me in particular and Ane had to get word all on my own ."
187,anger,"At Summer my job , nobody me looked after in particular and to I had learn all my on own ."
188,sadness,When I was not accepted as a student in finance and accounting.
189,sadness,When I was not accept as a student in finance and accounting .
190,sadness,When Ace was non accepted as a student in finance and accounting .
191,sadness,When I was accepted not as student a in finance accounting and .
192,disgust,When I had just moved into my new appartment I found a ventilator  in the kitchen.  I was going to clean it when I found that the  drum was full of mud and slime.  I felt disgusted.
193,disgust,When I have just moved into my new appartment I found a breathing device in the kitchen . I be run to clean information technology when Single found that the brake drum was full of mud and guck . I felt disgusted .
194,disgust,When I had just moved into my new appartment One witness a ventilator in the kitchen . I was going to clean it when Iodin found that the drum was full of mud and slime . Single feel revolt .
195,disgust,When I had moved just into my new appartment I found a the ventilator in kitchen . I was to going clean it when I found that the drum full of was mud and I slime . felt disgusted .
196,shame,My elder brother and I have not always had a good relationship  and I feel ashamed of myself as I do not call him to talk to him  nowadays.
197,shame,My senior brother and I have not always have a good relationship and One feel ashamed of myself as I make out non call him to talk to him nowadays .
198,shame,My elder buddy and I have non always had a skillful relationship and I feel ashamed of myself as I do non telephone him to talk to him today .
199,shame,Elder my brother and I have not always had a relationship good I and feel ashamed myself of as I do not call him to to talk . him nowadays
200,guilt,At my Summer job a new caretaker had been employed who was my age   but I preferred going out for lunch with the accounts personnel  rather than with him.
201,guilt,At my Summer chore a new caretaker had been employed world health organization was my age just Iodine preferred go out for luncheon with the accounts personnel rather than with him .
202,guilt,At my Summertime job a raw caretaker have personify engage who was my eld but I preferred go ko'd for lunch with the accounts personnel rather than with him .
203,guilt,At Summer job my a new caretaker had been who employed was age my but I preferred going out for lunch the with accounts rather personnel with than him .
204,joy,Passed an exam by 2 points.
205,joy,Devolve an examination by 2 points .
206,joy,Passed an exam by deuce point .
207,joy,An passed by exam 2 points .
208,fear,"In a cottage in a large forest, I was alone for a while in the  dark."
209,fear,"In a cottage in a large woodland , Single constitute alone for a while in the shadow ."
210,fear,"In a cottage in a large timber , Atomic number 53 equal alone for a while in the dark ."
211,fear,"In cottage in a a forest large , was I for alone a while in the dark ."
212,sadness,Railway station good-bye.
213,sadness,Railway station good - pass .
214,sadness,Railroad line station good - bye .
215,sadness,Station railway good - bye .
216,disgust,I saw a cripple in rags with small children in Italy.  He was  probably an imposter.
217,disgust,Unity saw a cripple in rag with small children in Italy . He be probably an imposter .
218,disgust,Iodine see a cripple in rags with small children in Italian republic . He was probably an imposter .
219,disgust,I a cripple saw rags in with children small in Italy . He was an probably imposter .
220,shame,I told a friend that I was going to a party and he would not  enjoy himself if he came along.  He understood  that he would not  have fitted in and there was something in that.
221,shame,I told a friend that I embody going to a party and he would non bask himself if he came along . He understood that he would not have fitted in and on that point was something in that .
222,shame,I told a friend that I comprise exit to a political party and he would not enjoy himself if he came on . Helium understood that atomic number 2 would not have fitted in and at that place was something in that .
223,shame,A I told friend that going I was to a party and he would not enjoy if he himself came along . He understood he that would have not in fitted and was there something in that .
224,guilt,I was the reason behind the break-up of my friend's relationship  with his girlfriend.  She finished with him.
225,guilt,Iodin was the reason behind the break - up of my champion ' s kinship with his girlfriend . She finished with him .
226,guilt,I be the reasonableness behind the break - astir of my friend ' s kinship with his girlfriend . She stop with him .
227,guilt,Was I reason the the behind break - up of my friend ' s relationship with . his girlfriend She him finished with .
228,joy,I passed an exam that I was absolutely certain that I had failed.
229,joy,I pass on an test that 1 personify absolutely certain that I had failed .
230,joy,I draw an exam that One was absolutely sure that I had failed .
231,joy,Passed an I exam that I was absolutely certain that I had failed .
232,fear,"On the way back from Denmark with a friend on a small yatch,  there was a storm and my friend was blown overboard;  I was very  scared till I managed to get him back onboard."
233,fear,"On the way back from Denmark with a friend on a small yatch , there was a violent storm and my booster be blown overboard ; I was very scared public treasury I managed to receive him back onboard ."
234,fear,"On the way rearwards from Denmark with a friend on a small yatch , there was a violent storm and my friend was bollix overboard ; I was real scared money box I manage to beget him back onboard ."
235,fear,"On way the from Denmark back with a on friend a small yatch , there a was and storm my friend was overboard blown ; I very was scared till I to get managed him back onboard ."
236,anger,I locked myself out.
237,anger,I locked myself out .
238,anger,Ane locked myself out .
239,anger,Locked I myself out .
240,sadness,I missed the last tram home and had to walk in the pouring rain.
241,sadness,1 leave out the last tram home and had to take the air in the pouring pelting .
242,sadness,I neglect the final tram home and had to take the air in the pouring rain .
243,sadness,I missed the last home tram had and to walk the pouring in rain .
244,disgust,I found some worms in the food and I had obviously eaten some.
245,disgust,I found some worms in the food and 1 have manifestly eaten some .
246,disgust,1 found some worms in the food and Atomic number 53 had obviously wipe out some .
247,disgust,I found some worms food in the and I had obviously eaten some .
248,shame,"My friend was so intoxicated that the police came and took him  away, and they later contacted his parents."
249,shame,"My acquaintance was so inebriated that the police come and took him away , and they after contacted his parent ."
250,shame,"My friend live thus drunk that the constabulary came and took him away , and they later contacted his parents ."
251,shame,"My friend was so intoxicated that the police and came took him , away and later they his contacted parents ."
252,guilt,I hapened to overhear something which I was not meant to hear.
253,guilt,I hapened to catch something which I constitute not meant to hear .
254,guilt,I hapened to overhear something which I was not mean to get a line .
255,guilt,I hapened to overhear which something I was not meant to hear .
256,joy,When I won a trip to Greece in a competition.
257,joy,When I won a stumble to Greece in a competition .
258,joy,When I won a trip to Greece in a contest .
259,joy,Won when a I trip to Greece in a competition .
260,fear,When I am out in the dark and a suspicious looking character  comes towards me.
261,fear,When I be out in the shadow and a suspicious looking character occur towards me .
262,fear,When I live out in the dark and a suspicious expect character number towards pine tree state .
263,fear,When I am out in the dark and a suspicious character looking comes towards . me
264,anger,"At work, when an elderly man complained unjustifiably about me and  distrusted me."
265,anger,"At work , when an elderly man complain unjustifiably astir maine and distrusted me ."
266,anger,"At work , when an older man sound off unjustifiably about me and distrust pine tree state ."
267,anger,"Work at , when an elderly man complained unjustifiably me about and distrusted me ."
268,sadness,When I had not understood anything after a lecture.
269,sadness,When 1 had not understood anything after a public lecture .
270,sadness,When I make not understood anything after a lecture .
271,sadness,When I had understood not anything after a lecture .
272,disgust,When an alcoholic stood dribbling over a food counter.
273,disgust,When an alcohol dependent stood dribbling over a food tabulator .
274,disgust,When an alcoholic stood dribbling ended a food for thought rejoinder .
275,disgust,An when alcoholic dribbling stood a over food counter .
276,shame,When my friend and I were discussing the good looks of a guy we  realized that he had been listening.
277,shame,When my friend and I be discussing the good looks of a guy we realized that atomic number 2 get be listening .
278,shame,When my friend and I were discussing the sound expression of a hombre we realized that atomic number 2 had been listen .
279,shame,When friend and my I discussing were the good of looks a guy we that realized he had listening been .
280,guilt,When I complained about a colleague to the manager and he told  her that someone had complained; this colleague came to me  believing that I liked her.
281,guilt,When I complained about a colleague to the managing director and he told her that somebody had sound off ; this colleague came to me believing that Iodin like her .
282,guilt,When I complained about a confrere to the manager and atomic number 2 told her that someone have complained ; this workfellow number to me believing that Atomic number 53 liked her .
283,guilt,When complained I about a colleague to the manager he and her told that had someone ; complained this colleague came to me believing that I her liked .
284,joy,At a friend's birthday party with some of my closest friends.  It  was all very pleasant and one could say that I was happy to have  such good friends.
285,joy,At a champion ' s birthday party with some of my closest friends . Information technology be all very pleasant and unity could say that I be happy to have such good friends .
286,joy,At a friend ' s birthday company with some of my close friends . It was all very pleasant and i could say that Unity be well chosen to have such good friends .
287,joy,At a friend ' birthday s party with some my of closest . friends It was all very pleasant and say one could that I happy was have to such good friends .
288,fear,On the way home one Friday night in the heavy rain the car  acquaplanned.  I lost contact with the road surface for a few  seconds.
289,fear,On the way home single Friday dark in the heavy rain the cable car acquaplanned . I lose liaison with the road surface for a few endorsement .
290,fear,On the way home unmatched Fri night in the heavy rain the automobile acquaplanned . I lost contact with the road aerofoil for a few bit .
291,fear,On the home way one night Friday in the heavy the rain car acquaplanned . I contact lost road with the surface for few seconds a .
292,anger,Mad at my dad.
293,anger,Mad at my dad .
294,anger,Mad at my dad .
295,anger,Mad my at dad .
296,sadness,A case of unrequited love.
297,sadness,A causa of unrequited love .
298,sadness,A case of unrequited beloved .
299,sadness,A of case unrequited love .
300,disgust,A bad smelling cucumber.
301,disgust,A bad smelling cuke .
302,disgust,A bad smelling cuke .
303,disgust,A bad cucumber smelling .
304,shame,Nearly caught masturbating.
305,shame,Nearly catch masturbating .
306,shame,Near caught masturbating .
307,shame,Caught nearly masturbating .
308,guilt,I do not help out enough at home.
309,guilt,Unity arrange not help out enough at home .
310,guilt,I coiffure non help out enough at home .
311,guilt,Do I not out help enough at home .
312,joy,I felt very happy when I won the football pools.
313,joy,I felt very felicitous when I won the football game pools .
314,joy,I felt rattling happy when Unity won the football pools .
315,joy,Felt very I happy when I won football the pools .
316,fear,When I flew from Athens to Copenhagen after a holiday.  The plane  was caught in a storm and it began to shake and I thouhght that  we were going to crash.
317,fear,When I flew from Athens to Copenhagen after a holiday . The planer embody caught in a storm and it lead off to didder and 1 thouhght that we were going to gate crash .
318,fear,When I flew from Greek capital to Kobenhavn after a holiday . The plane was get in a storm and it began to stir and I thouhght that we constitute going to crash .
319,fear,I when flew from Copenhagen Athens to holiday after a . plane The was caught in a and storm it began shake to I and thouhght that we were going to crash .
320,anger,When someone stole my bike.
321,anger,When someone steal my bike .
322,anger,When someone stole my bike .
323,anger,When someone my stole bike .
324,sadness,"When I saw the list of books to read for an acccouting course, I  thought "" Oh God how will I ever manaage it!"""
325,sadness,"When I see the list of books to translate for an acccouting course , I thought "" Oh God how will 1 ever manaage information technology ! """
326,sadness,"When Ace saw the tilt of book to read for an acccouting course , I thought "" Oh God how will Unity ever manaage information technology ! """
327,sadness,"I when saw the list of to books read for an acccouting course , I thought "" God Oh will how I ever ! manaage it """
328,disgust,It was when I read a newspaper article on the future and they  foresaw that we would be eating frog-burgers by the year 2000.   An illustration showed a frog between two pieces of bread.
329,disgust,It was when Unity read a newsprint article on the future and they foresaw that we would be deplete frog - beefburger by the yr 2000 . An exemplification showed a toad frog between two piece of bread .
330,disgust,It was when 1 say a newspaper clause on the future and they foresaw that we would comprise corrode frog - burgers by the year 2000 . An example showed a batrachian between two pieces of dinero .
331,disgust,It was when I read a newspaper the article on future and foresaw they that we be would eating frog - burgers the year by 2000 . illustration An showed two a frog between pieces of bread .
332,shame,When I dropped a bottle in the state liquor store and everyboby  started laughing.
333,shame,When I drop a bottleful in the state liquor computer memory and everyboby started laughing .
334,shame,When Ane drop a bottle in the state liquor store and everyboby start up laughing .
335,shame,When dropped I bottle a in the state liquor store and everyboby started laughing .
336,guilt,"When I was young - 14, I pinched from a store and was caught.   The store then contacted my parents."
337,guilt,"When I was young - 14 , Unity pinched from a store and be caught . The store so contacted my parent ."
338,guilt,"When I was untried - 14 , I twinge from a storage and was caught . The computer memory so contacted my parents ."
339,guilt,"When I young - was 14 I , from pinched a store was caught and . The store then contacted my parents ."
340,joy,When the whole family gets together for a one week holiday.   Everybody feels free and the trip is well planned.  It works out  well and we enjoy ourselves.
341,joy,When the unhurt family bring forth together for a unitary hebdomad holiday . Everybody sense liberal and the trip is well planned . It works out well and we savor ourselves .
342,joy,When the hale family gets in concert for a one week holiday . Everybody feel free and the trip up is comfortably planned . Information technology act upon out well and we enjoy ourselves .
343,joy,When the whole gets together family for a one holiday week . free Everybody feels and the trip is well planned . It works well out we and enjoy ourselves .
344,fear,"When I could not find my 2 year old daughter.  I ran and looked  for her everywhere and could not find her.  (I finally found her,  she had gone to bed to sleep)"
345,fear,"When I could not find my 2 year old daughter . 1 run and looked for her everywhere and could not discover her . ( 1 at long last found her , she have gone to bed to sleep )"
346,fear,"When I could not find my 2 yr old daughter . I ran and looked for her everywhere and could not find her . ( I in conclusion found her , she had gone to bonk to sleep )"
347,fear,"When I could not find my year 2 old daughter . ran I looked and her for everywhere and not could her find . ( I found finally her she , had to bed gone to sleep )"
348,anger,When friends try to put me down or hurt me.
349,anger,When quaker try to put pine tree state down or hurt me .
350,anger,When friend try on to put maine down or hurt me .
351,anger,When friends try to me put down or hurt me .
352,sadness,Marriage crises.  Boredom.
353,sadness,Marriage crisis . Boredom .
354,sadness,Marriage crises . Tedium .
355,sadness,Marriage crises Boredom . .
356,disgust,When someone makes advances that one does not want.
357,disgust,When somebody make advances that one does not desire .
358,disgust,When someone makes betterment that one make non want .
359,disgust,When someone makes that advances does one want not .
360,shame,The discovery that one has only thought of oneself.
361,shame,The discovery that i has exclusively thought of oneself .
362,shame,The find that unitary hold only thought of oneself .
363,shame,The discovery that has only one of thought oneself .
364,guilt,When I spanked a child in anger and later regretted it terribly.
365,guilt,When I spanked a nestling in anger and by and by regretted it terribly .
366,guilt,When I larrup a child in anger and later regretted it terribly .
367,guilt,When I spanked a in child anger regretted and later it terribly .
368,joy,When I passed the first examination that I had to repeat.
369,joy,When I passed the world class testing that I had to repeat .
370,joy,When Iodin passed the first examination that One had to recapitulate .
371,joy,When I passed the that first examination I to had repeat .
372,fear,When I drove to Stockholm for the first time and drove off the  Stora Hissingen road at the wrong exit.
373,fear,When Ace drive to Stockholm for the first sentence and drove off the Stora Hissingen road at the wrong expiration .
374,fear,When I drove to Capital of sweden for the first time and drove murder the Stora Hissingen road at the amiss exit .
375,fear,Drove when I Stockholm to for the first time and the drove off Stora Hissingen road at the exit wrong .
376,anger,When my boyfriend went away for a month long holiday without me.
377,anger,When my boyfriend went away for a calendar month long holiday without me .
